Date,AAPL,ABBV,ABT,ACN,ADBE,AMZN,AVGO,BAC,BRK,CMCSA,COST,CRM,CSCO,CVX,DHR,DIS,FB,GOOG,HD,INTC,JNJ,JPM,KO,LLY,MA,MCD,MDT,MRK,MS,MSFT,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PYPL,QCOM,T,TMO,TSLA,TXN,UNH,UPS,V,VZ,WFC,WMT,XOM,SP500
2010-01-04,6.5627,,19.871,33.5199,37.09,133.9,14.7446,13.5348,3.2686,6.8354,44.2949,18.705,18.2065,49.5346,18.5487,27.934,,,21.7365,14.6802,45.7395,31.904,19.9481,24.4595,24.2082,44.6931,33.9371,23.7504,25.221,23.9529,7.64,14.1652,4.2463,21.2635,43.3272,11.5644,42.7363,,34.4214,14.6647,45.5262,,19.4169,26.496,41.0831,20.2827,17.9655,20.0333,41.1289,44.2512,1132.99
2010-01-05,6.574,,19.7105,33.7271,37.7,134.69,14.8541,13.9747,3.3293,6.7428,44.1607,18.625,18.1254,49.8855,18.5265,27.8642,,,21.8957,14.6731,45.2092,32.522,19.7068,24.0293,24.1366,44.3514,34.6328,23.8466,26.143,23.9606,7.3586,14.2215,4.3083,21.2378,43.8507,11.3994,42.7503,,35.2501,14.5929,45.6796,,19.3049,26.454,41.1537,20.0503,17.9979,20.5833,40.7194,44.424,1136.52
2010-01-06,6.4695,,19.82,34.0856,37.62,132.25,14.9713,14.1386,3.3033,6.6944,44.7348,18.5925,18.0074,49.8918,18.561,27.7159,,,21.8199,14.6239,45.5769,32.7006,19.6998,24.2068,24.1017,43.7463,35.2037,24.1675,26.4776,23.8136,7.6171,14.1348,4.3359,20.9298,43.4121,11.3628,42.5475,,34.9054,14.3794,46.1109,,19.163,26.7145,40.8501,19.781,17.4795,20.6126,40.6284,44.8079,1137.14
2010-01-07,6.4575,,19.9841,34.0538,36.89,130.0,14.8775,14.6044,3.3119,6.8354,44.5186,18.51,18.0885,49.7038,18.7141,27.725,,,22.0777,14.4833,45.2516,33.3484,19.6509,24.0839,23.9442,44.0666,35.5298,24.206,26.8611,23.5675,7.4857,14.2735,4.2509,20.8613,43.1362,11.32,42.3168,,35.9174,14.2179,46.1109,,19.2228,27.7397,40.5394,19.9651,17.3754,21.3606,40.6511,44.6672,1141.6899
2010-01-08,6.5004,,20.0863,33.9183,36.69,133.52,14.987,14.475,3.3466,6.8153,44.198,18.5375,18.1844,49.7915,18.9757,27.7683,,,21.9715,14.645,45.4072,33.2665,19.2871,23.8996,23.9527,44.0239,35.7162,24.1932,26.3144,23.7284,7.6143,14.2454,4.2601,21.118,42.9947,11.4117,42.2609,,36.2767,14.1138,46.8872,,19.6632,27.4792,42.4883,20.0204,17.3864,21.1626,40.4463,44.488,1144.98
2010-01-11,6.4431,,20.1885,33.8864,36.21,130.308,15.0808,14.6044,3.4333,6.771,44.2502,18.4125,18.1328,50.6749,19.1904,27.3154,,,21.3499,14.7294,45.4142,33.1548,19.6788,24.2273,23.5585,44.3656,35.5764,24.2894,26.143,23.4266,7.6043,14.0698,4.2004,21.1266,42.9451,11.5033,42.0931,,36.1447,14.0461,47.4431,,19.4094,27.6641,44.3596,19.9628,17.4576,21.1186,41.1137,44.9871,1146.98
2010-01-12,6.3698,,20.1301,33.6713,35.66,127.35,14.8541,14.1127,3.3813,6.6501,44.0116,17.0725,17.8452,50.3805,18.9239,26.8451,,,21.2134,14.4889,45.6547,32.3805,19.8922,24.1454,23.5453,44.6077,35.1959,24.0969,25.4005,23.2718,7.4814,14.0503,4.058,21.0153,43.5465,11.4666,42.5755,,35.5581,14.0408,46.6572,,18.5957,26.933,44.063,19.8685,17.474,20.5906,41.5081,44.7631,1136.22
2010-01-13,6.4596,,20.3212,34.0538,36.28,129.11,14.4006,14.337,3.3639,6.7549,44.2875,17.125,18.1697,49.9983,18.9707,27.2545,,,21.3271,14.7364,45.9446,32.9463,19.9446,24.48,24.1573,44.5578,35.3978,24.9825,25.5066,23.4885,7.7086,14.176,4.1131,21.2207,43.9003,11.7354,43.016,,35.7121,13.8742,46.6764,,18.6778,27.3447,43.83,20.0526,17.4521,20.9573,41.7205,44.584,1145.6801
2010-01-14,6.4222,,20.3433,34.3565,35.9,127.35,14.4084,14.5095,3.3726,6.7146,43.7805,17.2975,18.3982,49.8416,19.0497,27.0195,,,21.456,15.102,46.0365,33.2739,19.9796,24.5824,24.5657,44.6006,35.7085,25.6627,25.4576,23.9606,7.2843,14.0871,4.0488,21.7266,44.4309,11.8393,43.058,,35.4701,13.6398,46.408,,18.4464,28.0002,43.9218,20.1216,17.0962,21.2579,41.1137,44.5904,1148.46
2010-01-15,6.3149,,20.3947,34.1095,35.87,127.14,14.2599,14.0265,3.3726,6.6985,43.8327,17.1575,17.9927,49.6411,18.8103,26.6536,,,21.6607,14.6239,45.6547,32.522,19.6858,24.4595,24.7704,44.3372,35.4211,25.329,24.7885,23.8832,7.2786,13.9571,3.9294,21.6408,44.0701,11.9065,42.5266,,35.5874,13.4315,45.7658,,18.2896,28.3616,43.7311,19.8225,16.7457,20.5906,40.7118,44.2256,1136.03
